accession	Pango_lineage	clade	genotype	CHIKVnext_lineage
OQ759859	H	II-ECSA	East-Central-South-African	
OQ759863	H	II-ECSA	East-Central-South-African	
OQ759876	H	II-ECSA	East-Central-South-African	
OQ759875	H	II-ECSA	East-Central-South-African	
OQ759867	H	II-ECSA	East-Central-South-African	
OQ759865	H	II-ECSA	East-Central-South-African	
OQ759861	H	II-ECSA	East-Central-South-African	
OQ759856	H	II-ECSA	East-Central-South-African	
OQ759852	H	II-ECSA	East-Central-South-African	
OQ759879	H	II-ECSA	East-Central-South-African	
OQ759872	H	II-ECSA	East-Central-South-African	
OQ759882	H	II-ECSA	East-Central-South-African	
OQ759652	H	II-ECSA	East-Central-South-African	
OQ865304	H	II-ECSA		
OQ865302	H	II-ECSA		
OQ865301	H	II-ECSA		
OQ865303	H	II-ECSA		
OQ865300	H	II-ECSA		
OQ865299	H	II-ECSA		
OQ865298	H	II-ECSA		
OQ865297	H	II-ECSA		
OQ865296	H	II-ECSA		
OQ865295	H	II-ECSA		
OQ616996	H	II-ECSA	ECSA	
PP681186	H	II-ECSA	ECSA	
OZ252703	H	II-ECSA		
OR631912	H	II-ECSA	East-Central-South-African	
OZ252702	H	II-ECSA		
OR063980	H	II-ECSA	ECSA	
OR063985	H	II-ECSA	ECSA	
OR063979	H	II-ECSA	ECSA	
OR063986	H	II-ECSA	ECSA	
OR063982	H	II-ECSA	ECSA	
OR063984	H	II-ECSA	ECSA	
OR063983	H	II-ECSA	ECSA	
OR063981	H	II-ECSA	ECSA	
OR063978	H	II-ECSA	ECSA	
OZ252701	H	II-ECSA		
OZ252700	H	II-ECSA		
OR167329	H	II-ECSA	East-Central-South-African	
OR167355	H	II-ECSA	East-Central-South-African	
OR063988	H	II-ECSA	ECSA	
OR063987	H	II-ECSA	ECSA	
OR064003	H	II-ECSA	ECSA	
OR064005	H	II-ECSA	ECSA	
OR064017	H	II-ECSA	ECSA	
OR064015	H	II-ECSA	ECSA	
OR064014	H	II-ECSA	ECSA	
OR064013	H	II-ECSA	ECSA	
OR064012	H	II-ECSA	ECSA	
OR064001	H	II-ECSA	ECSA	
OR064007	H	II-ECSA	ECSA	
OR064004	H	II-ECSA	ECSA	
OR064000	H	II-ECSA	ECSA	
OR063999	H	II-ECSA	ECSA	
OR063996	H	II-ECSA	ECSA	
OR064006	H	II-ECSA	ECSA	
OR064002	H	II-ECSA	ECSA	
OR063994	H	II-ECSA	ECSA	
OR064010	H	II-ECSA	ECSA	
OR064008	H	II-ECSA	ECSA	
OR063997	H	II-ECSA	ECSA	
OR063998	H	II-ECSA	ECSA	
OR063995	H	II-ECSA	ECSA	
OR063992	H	II-ECSA	ECSA	
OR064016	H	II-ECSA	ECSA	
OR063993	H	II-ECSA	ECSA	
OR063990	H	II-ECSA	ECSA	
OQ616992	H	II-ECSA	ECSA	
OQ616990	H	II-ECSA	ECSA	
OQ616989	H	II-ECSA	ECSA	
OQ616988	H	II-ECSA	ECSA	
OQ616991	H	II-ECSA	ECSA	
OQ616987	H	II-ECSA	ECSA	
OQ616985	H	II-ECSA	ECSA	
OR167326	H	II-ECSA	East-Central-South-African	
OR167356	H	II-ECSA	East-Central-South-African	
OR167327	H	II-ECSA	East-Central-South-African	
OR167310	H	II-ECSA	East-Central-South-African	
OQ616986	H	II-ECSA	ECSA	
OR167345	H	II-ECSA	East-Central-South-African	
OR167357	H	II-ECSA	East-Central-South-African	
OR167344	H	II-ECSA	East-Central-South-African	
OR167334	H	II-ECSA	East-Central-South-African	
OR167319	H	II-ECSA	East-Central-South-African	
OR167325	H	II-ECSA	East-Central-South-African	
OR167328	H	II-ECSA	East-Central-South-African	
OR167318	H	II-ECSA	East-Central-South-African	
OR167309	H	II-ECSA	East-Central-South-African	
OQ775529	H	II-ECSA	East-Central-South-African	
OQ775556	H	II-ECSA	East-Central-South-African	
OQ775519	H	II-ECSA	East-Central-South-African	
OQ775513	H	II-ECSA	East-Central-South-African	
OQ775535	H	II-ECSA	East-Central-South-African	
OQ775501	H	II-ECSA	East-Central-South-African	
OQ775531	H	II-ECSA	East-Central-South-African	
OQ775517	H	II-ECSA	East-Central-South-African	
OQ775512	H	II-ECSA	East-Central-South-African	
OQ775487	H	II-ECSA	East-Central-South-African	
OQ775560	H	II-ECSA	East-Central-South-African	
OQ775545	H	II-ECSA	East-Central-South-African	
OQ775551	H	II-ECSA	East-Central-South-African	
OQ775449	H	II-ECSA	East-Central-South-African	
OQ775510	H	II-ECSA	East-Central-South-African	
OQ775442	H	II-ECSA	East-Central-South-African	
OQ759918	H	II-ECSA	East-Central-South-African	
OQ759923	H	II-ECSA	East-Central-South-African	
OQ759904	H	II-ECSA	East-Central-South-African	
OQ759886	H	II-ECSA	East-Central-South-African	
OQ759929	H	II-ECSA	East-Central-South-African	
OQ759922	H	II-ECSA	East-Central-South-African	
OQ759912	H	II-ECSA	East-Central-South-African	
OQ759901	H	II-ECSA	East-Central-South-African	
OQ759900	H	II-ECSA	East-Central-South-African	
OQ759892	H	II-ECSA	East-Central-South-African	
OQ759885	H	II-ECSA	East-Central-South-African	
OQ759926	H	II-ECSA	East-Central-South-African	
OQ759889	H	II-ECSA	East-Central-South-African	
OQ759932	H	II-ECSA	East-Central-South-African	
OQ759911	H	II-ECSA	East-Central-South-African	
OQ759973	H	II-ECSA	East-Central-South-African	
OQ759965	H	II-ECSA	East-Central-South-African	
OQ759956	H	II-ECSA	East-Central-South-African	
OQ759955	H	II-ECSA	East-Central-South-African	
OQ759951	H	II-ECSA	East-Central-South-African	
OQ759927	H	II-ECSA	East-Central-South-African	
OQ759925	H	II-ECSA	East-Central-South-African	
OQ759897	H	II-ECSA	East-Central-South-African	
OQ759935	H	II-ECSA	East-Central-South-African	
OQ759928	H	II-ECSA	East-Central-South-African	
OQ759915	H	II-ECSA	East-Central-South-African	
OQ759913	H	II-ECSA	East-Central-South-African	
OQ759898	H	II-ECSA	East-Central-South-African	
OQ759894	H	II-ECSA	East-Central-South-African	
OQ759895	H	II-ECSA	East-Central-South-African	
OQ759902	H	II-ECSA	East-Central-South-African	
OQ759896	H	II-ECSA	East-Central-South-African	
OQ759888	H	II-ECSA	East-Central-South-African	
OQ759930	H	II-ECSA	East-Central-South-African	
OQ759921	H	II-ECSA	East-Central-South-African	
OQ759903	H	II-ECSA	East-Central-South-African	
OQ759914	H	II-ECSA	East-Central-South-African	
OQ759908	H	II-ECSA	East-Central-South-African	
OQ759906	H	II-ECSA	East-Central-South-African	
OQ759919	H	II-ECSA	East-Central-South-African	
OQ759917	H	II-ECSA	East-Central-South-African	
OQ759920	H	II-ECSA	East-Central-South-African	
OQ759899	H	II-ECSA	East-Central-South-African	
OQ759962	H	II-ECSA	East-Central-South-African	
OQ759924	H	II-ECSA	East-Central-South-African	
OQ759916	H	II-ECSA	East-Central-South-African	
OQ759891	H	II-ECSA	East-Central-South-African	
OQ759910	H	II-ECSA	East-Central-South-African	
OQ759883	H	II-ECSA	East-Central-South-African	
OQ775466	H	II-ECSA	East-Central-South-African	
OQ775566	H	II-ECSA	East-Central-South-African	
OQ567726	H	II-ECSA	East-Central-South-African	
OQ567724	H	II-ECSA	East-Central-South-African	
OQ567722	H	II-ECSA	East-Central-South-African	
OQ775540	H	II-ECSA	East-Central-South-African	
OQ775511	H	II-ECSA	East-Central-South-African	
OQ775527	H	II-ECSA	East-Central-South-African	
OQ775567	H	II-ECSA	East-Central-South-African	
OQ775562	H	II-ECSA	East-Central-South-African	
OQ775546	H	II-ECSA	East-Central-South-African	
OQ775548	H	II-ECSA	East-Central-South-African	
OQ775528	H	II-ECSA	East-Central-South-African	
OQ775507	H	II-ECSA	East-Central-South-African	
OQ775514	H	II-ECSA	East-Central-South-African	
OQ775525	H	II-ECSA	East-Central-South-African	
OQ775482	H	II-ECSA	East-Central-South-African	
OQ775526	H	II-ECSA	East-Central-South-African	
OQ775541	H	II-ECSA	East-Central-South-African	
OQ775524	H	II-ECSA	East-Central-South-African	
OQ775447	H	II-ECSA	East-Central-South-African	
OQ775481	H	II-ECSA	East-Central-South-African	
OQ775477	H	II-ECSA	East-Central-South-African	
OQ775475	H	II-ECSA	East-Central-South-African	
OQ775484	H	II-ECSA	East-Central-South-African	
OQ775445	H	II-ECSA	East-Central-South-African	
OQ775440	H	II-ECSA	East-Central-South-African	
OQ775538	H	II-ECSA	East-Central-South-African	
OQ775539	H	II-ECSA	East-Central-South-African	
OQ775555	H	II-ECSA	East-Central-South-African	
OQ775554	H	II-ECSA	East-Central-South-African	
OQ775542	H	II-ECSA	East-Central-South-African	
OQ775489	H	II-ECSA	East-Central-South-African	
OQ567727	H	II-ECSA	East-Central-South-African	
OQ775428	H	II-ECSA	East-Central-South-African	
OQ775422	H	II-ECSA	East-Central-South-African	
OQ775408	H	II-ECSA	East-Central-South-African	
OQ775418	H	II-ECSA	East-Central-South-African	
OQ775412	H	II-ECSA	East-Central-South-African	
OQ775396	H	II-ECSA	East-Central-South-African	
OQ775421	H	II-ECSA	East-Central-South-African	
OQ775417	H	II-ECSA	East-Central-South-African	
OQ775425	H	II-ECSA	East-Central-South-African	
OQ775420	H	II-ECSA	East-Central-South-African	
OQ775413	H	II-ECSA	East-Central-South-African	
OQ775414	H	II-ECSA	East-Central-South-African	
OQ775411	H	II-ECSA	East-Central-South-African	
OQ775410	H	II-ECSA	East-Central-South-African	
OQ775407	H	II-ECSA	East-Central-South-African	
OQ775415	H	II-ECSA	East-Central-South-African	
OQ775404	H	II-ECSA	East-Central-South-African	
OQ775406	H	II-ECSA	East-Central-South-African	
OQ775403	H	II-ECSA	East-Central-South-African	
OQ775399	H	II-ECSA	East-Central-South-African	
OQ775402	H	II-ECSA	East-Central-South-African	
OQ775398	H	II-ECSA	East-Central-South-African	
OQ775416	H	II-ECSA	East-Central-South-African	
OQ775429	H	II-ECSA	East-Central-South-African	
OQ775427	H	II-ECSA	East-Central-South-African	
OQ775405	H	II-ECSA	East-Central-South-African	
OQ775432	H	II-ECSA	East-Central-South-African	
OQ775426	H	II-ECSA	East-Central-South-African	
OQ775397	H	II-ECSA	East-Central-South-African	
OQ567728	H	II-ECSA	East-Central-South-African	
OQ775430	H	II-ECSA	East-Central-South-African	
OQ775423	H	II-ECSA	East-Central-South-African	
OQ775419	H	II-ECSA	East-Central-South-African	
OQ567725	H	II-ECSA	East-Central-South-African	
OQ567723	H	II-ECSA	East-Central-South-African	
OQ775515	H	II-ECSA	East-Central-South-African	
OQ775559	H	II-ECSA	East-Central-South-African	
OQ775533	H	II-ECSA	East-Central-South-African	
OQ775495	H	II-ECSA	East-Central-South-African	
OQ775488	H	II-ECSA	East-Central-South-African	
OQ775553	H	II-ECSA	East-Central-South-African	
OQ775492	H	II-ECSA	East-Central-South-African	
OQ775518	H	II-ECSA	East-Central-South-African	
OQ775544	H	II-ECSA	East-Central-South-African	
OQ775520	H	II-ECSA	East-Central-South-African	
OQ775498	H	II-ECSA	East-Central-South-African	
OQ775504	H	II-ECSA	East-Central-South-African	
OQ775502	H	II-ECSA	East-Central-South-African	
OQ775508	H	II-ECSA	East-Central-South-African	
OQ775496	H	II-ECSA	East-Central-South-African	
OQ775491	H	II-ECSA	East-Central-South-African	
OQ775503	H	II-ECSA	East-Central-South-African	
OQ775497	H	II-ECSA	East-Central-South-African	
OQ775490	H	II-ECSA	East-Central-South-African	
OQ775523	H	II-ECSA	East-Central-South-African	
OQ775486	H	II-ECSA	East-Central-South-African	
OQ775469	H	II-ECSA	East-Central-South-African	
OQ775433	H	II-ECSA	East-Central-South-African	
OQ775434	H	II-ECSA	East-Central-South-African	
OQ775424	H	II-ECSA	East-Central-South-African	
OQ775506	H	II-ECSA	East-Central-South-African	
OQ775464	H	II-ECSA	East-Central-South-African	
OQ775409	H	II-ECSA	East-Central-South-African	
OQ775532	H	II-ECSA	East-Central-South-African	
OQ775530	H	II-ECSA	East-Central-South-African	
OQ775534	H	II-ECSA	East-Central-South-African	
OQ775522	H	II-ECSA	East-Central-South-African	
OQ775505	H	II-ECSA	East-Central-South-African	
OQ775509	H	II-ECSA	East-Central-South-African	
OQ775443	H	II-ECSA	East-Central-South-African	
OQ775457	H	II-ECSA	East-Central-South-African	
OQ775473	H	II-ECSA	East-Central-South-African	
OQ775431	H	II-ECSA	East-Central-South-African	
OQ775558	H	II-ECSA	East-Central-South-African	
OQ775543	H	II-ECSA	East-Central-South-African	
OQ775549	H	II-ECSA	East-Central-South-African	
OQ775476	H	II-ECSA	East-Central-South-African	
OQ775450	H	II-ECSA	East-Central-South-African	
OQ775557	H	II-ECSA	East-Central-South-African	
OQ775552	H	II-ECSA	East-Central-South-African	
OQ775547	H	II-ECSA	East-Central-South-African	
OQ775454	H	II-ECSA	East-Central-South-African	
PQ841415	H	II-ECSA	East/Central/South African (ECSA)	
PQ841422	H	II-ECSA	East/Central/South African (ECSA)	
PQ841420	H	II-ECSA	East/Central/South African (ECSA)	
PQ841427	H	II-ECSA	East/Central/South African (ECSA)	
PQ841421	H	II-ECSA	East/Central/South African (ECSA)	
PQ841416	H	II-ECSA	East/Central/South African (ECSA)	
PQ841413	H	II-ECSA	East/Central/South African (ECSA)	
OQ775537	H	II-ECSA	East-Central-South-African	
OQ775565	H	II-ECSA	East-Central-South-African	
OQ775564	H	II-ECSA	East-Central-South-African	
OQ775563	H	II-ECSA	East-Central-South-African	
OQ775521	H	II-ECSA	East-Central-South-African	
OQ775516	H	II-ECSA	East-Central-South-African	
OQ775494	H	II-ECSA	East-Central-South-African	
OQ775561	H	II-ECSA	East-Central-South-African	
OQ775485	H	II-ECSA	East-Central-South-African	
OQ775493	H	II-ECSA	East-Central-South-African	
OQ775483	H	II-ECSA	East-Central-South-African	
OQ775444	H	II-ECSA	East-Central-South-African	
OQ775462	H	II-ECSA	East-Central-South-African	
OQ775446	H	II-ECSA	East-Central-South-African	
PQ841405	H	II-ECSA	East/Central/South African (ECSA)	
PQ841404	H	II-ECSA	East/Central/South African (ECSA)	
PQ841395	H	II-ECSA	East/Central/South African (ECSA)	
OQ775499	H	II-ECSA	East-Central-South-African	
OQ775461	H	II-ECSA	East-Central-South-African	
OQ775474	H	II-ECSA	East-Central-South-African	
OQ775455	H	II-ECSA	East-Central-South-African	
OQ775453	H	II-ECSA	East-Central-South-African	
OQ775458	H	II-ECSA	East-Central-South-African	
OQ775479	H	II-ECSA	East-Central-South-African	
OQ775478	H	II-ECSA	East-Central-South-African	
OQ775470	H	II-ECSA	East-Central-South-African	
OQ775448	H	II-ECSA	East-Central-South-African	
OQ775472	H	II-ECSA	East-Central-South-African	
OQ775463	H	II-ECSA	East-Central-South-African	
OQ775459	H	II-ECSA	East-Central-South-African	
OQ775451	H	II-ECSA	East-Central-South-African	
OQ775438	H	II-ECSA	East-Central-South-African	
OQ775441	H	II-ECSA	East-Central-South-African	
OQ775439	H	II-ECSA	East-Central-South-African	
OQ775400	H	II-ECSA	East-Central-South-African	
OQ775395	H	II-ECSA	East-Central-South-African	
OQ759968	H	II-ECSA	East-Central-South-African	
OQ759964	H	II-ECSA	East-Central-South-African	
OQ759938	H	II-ECSA	East-Central-South-African	
OQ759947	H	II-ECSA	East-Central-South-African	
OQ759963	H	II-ECSA	East-Central-South-African	
OQ759954	H	II-ECSA	East-Central-South-African	
OQ759940	H	II-ECSA	East-Central-South-African	
OQ759966	H	II-ECSA	East-Central-South-African	
OQ759972	H	II-ECSA	East-Central-South-African	
OQ759971	H	II-ECSA	East-Central-South-African	
OQ759970	H	II-ECSA	East-Central-South-African	
OQ759969	H	II-ECSA	East-Central-South-African	
OQ759943	H	II-ECSA	East-Central-South-African	
OQ759937	H	II-ECSA	East-Central-South-African	
OQ759939	H	II-ECSA	East-Central-South-African	
OQ759936	H	II-ECSA	East-Central-South-African	
OQ759950	H	II-ECSA	East-Central-South-African	
OQ759931	H	II-ECSA	East-Central-South-African	
OQ759818	H	II-ECSA	East-Central-South-African	
OQ759821	H	II-ECSA	East-Central-South-African	
OQ759832	H	II-ECSA	East-Central-South-African	
OQ759819	H	II-ECSA	East-Central-South-African	
OQ759941	H	II-ECSA	East-Central-South-African	
OQ759804	H	II-ECSA	East-Central-South-African	
OQ759814	H	II-ECSA	East-Central-South-African	
OQ759803	H	II-ECSA	East-Central-South-African	
OQ759795	H	II-ECSA	East-Central-South-African	
OQ759949	H	II-ECSA	East-Central-South-African	
OQ759967	H	II-ECSA	East-Central-South-African	
OQ759946	H	II-ECSA	East-Central-South-African	
OQ759944	H	II-ECSA	East-Central-South-African	
OQ759952	H	II-ECSA	East-Central-South-African	
OQ759942	H	II-ECSA	East-Central-South-African	
OQ759948	H	II-ECSA	East-Central-South-African	
OQ759957	H	II-ECSA	East-Central-South-African	
OQ759934	H	II-ECSA	East-Central-South-African	
OQ759945	H	II-ECSA	East-Central-South-African	
OQ775436	H	II-ECSA	East-Central-South-African	
OQ775468	H	II-ECSA	East-Central-South-African	
OQ775456	H	II-ECSA	East-Central-South-African	
OQ775471	H	II-ECSA	East-Central-South-African	
OQ775452	H	II-ECSA	East-Central-South-African	
OQ775467	H	II-ECSA	East-Central-South-African	
OQ775465	H	II-ECSA	East-Central-South-African	
OQ775460	H	II-ECSA	East-Central-South-African	
OQ775437	H	II-ECSA	East-Central-South-African	
OQ775435	H	II-ECSA	East-Central-South-African	
OQ775401	H	II-ECSA	East-Central-South-African	
OQ775394	H	II-ECSA	East-Central-South-African	
PQ841387	H	II-ECSA	East/Central/South African (ECSA)	
PQ841426	H	II-ECSA	East/Central/South African (ECSA)	
PQ841424	H	II-ECSA	East/Central/South African (ECSA)	
PQ841430	H	II-ECSA	East/Central/South African (ECSA)	
PQ841425	H	II-ECSA	East/Central/South African (ECSA)	
PQ841428	H	II-ECSA	East/Central/South African (ECSA)	
PQ841417	H	II-ECSA	East/Central/South African (ECSA)	
PQ841429	H	II-ECSA	East/Central/South African (ECSA)	
PQ841423	H	II-ECSA	East/Central/South African (ECSA)	
PQ841418	H	II-ECSA	East/Central/South African (ECSA)	
PQ841419	H	II-ECSA	East/Central/South African (ECSA)	
PQ841414	H	II-ECSA	East/Central/South African (ECSA)	
PQ841412	H	II-ECSA	East/Central/South African (ECSA)	
PQ841401	H	II-ECSA	East/Central/South African (ECSA)	
PQ841396	H	II-ECSA	East/Central/South African (ECSA)	
PQ841403	H	II-ECSA	East/Central/South African (ECSA)	
PQ841398	H	II-ECSA	East/Central/South African (ECSA)	
PQ841397	H	II-ECSA	East/Central/South African (ECSA)	
PQ841392	H	II-ECSA	East/Central/South African (ECSA)	
PQ841390	H	II-ECSA	East/Central/South African (ECSA)	
PQ841400	H	II-ECSA	East/Central/South African (ECSA)	
PQ841389	H	II-ECSA	East/Central/South African (ECSA)	
PQ841388	H	II-ECSA	East/Central/South African (ECSA)	
PQ841402	H	II-ECSA	East/Central/South African (ECSA)	
PQ841386	H	II-ECSA	East/Central/South African (ECSA)	
PQ841394	H	II-ECSA	East/Central/South African (ECSA)	
PQ841393	H	II-ECSA	East/Central/South African (ECSA)	
PQ841391	H	II-ECSA	East/Central/South African (ECSA)	
PQ841385	H	II-ECSA	East/Central/South African (ECSA)	
PQ841383	H	II-ECSA	East/Central/South African (ECSA)	
PQ841410	H	II-ECSA	East/Central/South African (ECSA)	
PQ841409	H	II-ECSA	East/Central/South African (ECSA)	
PQ841408	H	II-ECSA	East/Central/South African (ECSA)	
PQ841406	H	II-ECSA	East/Central/South African (ECSA)	
PQ841411	H	II-ECSA	East/Central/South African (ECSA)	
PQ841407	H	II-ECSA	East/Central/South African (ECSA)	
PQ841384	H	II-ECSA	East/Central/South African (ECSA)	
PQ841399	H	II-ECSA	East/Central/South African (ECSA)	
PQ841382	H	II-ECSA	East/Central/South African (ECSA)	
OM128434	H	II-ECSA		South American Lineage
OM128437	H	II-ECSA		South American Lineage
OM128436	H	II-ECSA		South American Lineage
OM128433	H	II-ECSA		South American Lineage
PQ602191	H	II-ECSA	East-Central-South-African	
MT038403	H.1	II-ECSA	East/Central/South African	South American Lineage
MT038402	H.1	II-ECSA	East/Central/South African	South American Lineage
MT038401	H.1	II-ECSA	East/Central/South African	
MT038399	H.1	II-ECSA	East/Central/South African	
OR360572	H.2	II-ECSA	East-Central-South-African	
OR360582	H.2	II-ECSA	East-Central-South-African	
OR360593	H.2	II-ECSA	East-Central-South-African	
OR360585	H.2	II-ECSA	East-Central-South-African	
OR360590	H.2	II-ECSA	East-Central-South-African	
OR360580	H.2	II-ECSA	East-Central-South-African	
OR360581	H.2	II-ECSA	East-Central-South-African	
OR360591	H.2	II-ECSA	East-Central-South-African	
OR360595	H.2	II-ECSA	East-Central-South-African	
OR360589	H.2	II-ECSA	East-Central-South-African	
OR360592	H.2	II-ECSA	East-Central-South-African	
OR360578	H.2	II-ECSA	East-Central-South-African	
OR360587	H.2	II-ECSA	East-Central-South-African	
OR360569	H.2	II-ECSA	East-Central-South-African	
OR360570	H.2	II-ECSA	East-Central-South-African	
OR360568	H.2	II-ECSA	East-Central-South-African	
OR360567	H.2	II-ECSA	East-Central-South-African	
OR360571	H.2	II-ECSA	East-Central-South-African	
OR360574	H.2	II-ECSA	East-Central-South-African	
OR360586	H.2	II-ECSA	East-Central-South-African	
OR360579	H.2	II-ECSA	East-Central-South-African	
OR360577	H.2	II-ECSA	East-Central-South-African	
OR360575	H.2	II-ECSA	East-Central-South-African	
OR360594	H.2	II-ECSA	East-Central-South-African	
OR360566	H.2	II-ECSA	East-Central-South-African	
OR360583	H.2	II-ECSA	East-Central-South-African	
OR631917	H.2	II-ECSA	East-Central-South-African	
OR631916	H.2	II-ECSA	East-Central-South-African	
OR631899	H.2	II-ECSA	East-Central-South-African	
OR360588	H.2	II-ECSA	East-Central-South-African	
OR631897	H.2	II-ECSA	East-Central-South-African	
OR360573	H.2	II-ECSA	East-Central-South-African	
OR631894	H.2	II-ECSA	East-Central-South-African	
OR360584	H.2	II-ECSA	East-Central-South-African	
OR360576	H.2	II-ECSA	East-Central-South-African	
OR631898	H.2	II-ECSA	East-Central-South-African	
OR631909	H.2	II-ECSA	East-Central-South-African	
OR631890	H.2	II-ECSA	East-Central-South-African	
OR631892	H.2	II-ECSA	East-Central-South-African	
OR631901	H.2	II-ECSA	East-Central-South-African	
OR631896	H.2	II-ECSA	East-Central-South-African	
OR631893	H.2	II-ECSA	East-Central-South-African	
OR631871	H.2	II-ECSA	East-Central-South-African	
OR631869	H.2	II-ECSA	East-Central-South-African	
OR631865	H.2	II-ECSA	East-Central-South-African	
OR631908	H.2	II-ECSA	East-Central-South-African	
OR631874	H.2	II-ECSA	East-Central-South-African	
OR631891	H.2	II-ECSA	East-Central-South-African	
OR631906	H.2	II-ECSA	East-Central-South-African	
OR631895	H.2	II-ECSA	East-Central-South-African	
OR631900	H.2	II-ECSA	East-Central-South-African	
OR631864	H.2	II-ECSA	East-Central-South-African	
OR631907	H.2	II-ECSA	East-Central-South-African	
OR631885	H.2	II-ECSA	East-Central-South-African	
OR631877	H.2	II-ECSA	East-Central-South-African	
OR631867	H.2	II-ECSA	East-Central-South-African	
OR631866	H.2	II-ECSA	East-Central-South-African	
OR631886	H.2	II-ECSA	East-Central-South-African	
OR631883	H.2	II-ECSA	East-Central-South-African	
OR631884	H.2	II-ECSA	East-Central-South-African	
ON204004	H.2	II-ECSA		
OR631915	H.2	II-ECSA	East-Central-South-African	
OR631913	H.2	II-ECSA	East-Central-South-African	
OR631911	H.2	II-ECSA	East-Central-South-African	
OR631889	H.2	II-ECSA	East-Central-South-African	
OR631888	H.2	II-ECSA	East-Central-South-African	
OR631910	H.2	II-ECSA	East-Central-South-African	
OR631887	H.2	II-ECSA	East-Central-South-African	
OR631881	H.2	II-ECSA	East-Central-South-African	
OR631875	H.2	II-ECSA	East-Central-South-African	
OR631873	H.2	II-ECSA	East-Central-South-African	
OR631882	H.2	II-ECSA	East-Central-South-African	
OR631880	H.2	II-ECSA	East-Central-South-African	
OR631870	H.2	II-ECSA	East-Central-South-African	
OR631872	H.2	II-ECSA	East-Central-South-African	
OR631878	H.2	II-ECSA	East-Central-South-African	
OR631876	H.2	II-ECSA	East-Central-South-African	
OR631879	H.2	II-ECSA	East-Central-South-African	
OR631868	H.2	II-ECSA	East-Central-South-African	
OR631863	H.2	II-ECSA	East-Central-South-African	
OQ054327	O	I-WestAfrica	West Africa	
MW473668	O	III-Asian		Asian Urban Lineage
OL343611	O	III-Asian		Asian Urban Lineage
OL343612	O	III-Asian		Asian Urban Lineage
OL343615	O	III-Asian		Asian Urban Lineage
OL343610	O	III-Asian		Asian Urban Lineage
OL343616	O	III-Asian		
OL343614	O	III-Asian		Asian Urban Lineage
OL343613	O	III-Asian		
OQ148627	O	III-Asian	Asian	
OQ148624	O	III-Asian	Asian	
OQ148625	O	III-Asian	Asian	
OQ148623	O	III-Asian	Asian	
OQ148622	O	III-Asian	Asian	
OQ148618	O	III-Asian	Asian	
KY680396	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY435483	O	III-Asian	Asian	Asian Urban + American Lineage
KY435482	O	III-Asian	Asian	Asian Urban + American Lineage
KY435485	O	III-Asian	Asian	Asian Urban + American Lineage
KY435479	O	III-Asian	Asian	Asian Urban + American Lineage
KY435468	O	III-Asian	Asian	Asian Urban + American Lineage
KP851710	O	III-Asian		Asian Urban + American Lineage
KR046227	O	III-Asian	Asia	Asian Urban + American Lineage
KY435467	O	III-Asian	Asian	Asian Urban + American Lineage
KY435457	O	III-Asian	Asian	Asian Urban + American Lineage
KY435475	O	III-Asian	Asian	Asian Urban + American Lineage
KY435472	O	III-Asian	Asian	Asian Urban + American Lineage
KY435469	O	III-Asian	Asian	Asian Urban + American Lineage
KY435454	O	III-Asian	Asian	Asian Urban + American Lineage
KX262992	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KP164572	O	III-Asian		Asian Urban + American Lineage
OQ148659	O	III-Asian	Asian	
KP164567	O	III-Asian		Asian Urban + American Lineage
OQ148626	O	III-Asian	Asian	
OQ148620	O	III-Asian	Asian	
OQ148628	O	III-Asian	Asian	
OQ148619	O	III-Asian	Asian	
MW656171	O	III-Asian		Asian Urban + American Lineage
KY703949	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MH329298	O	III-Asian	Asiatico	Asian Urban + American Lineage
MH329297	O	III-Asian	Asiatico	Asian Urban + American Lineage
KY680347	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703969	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703963	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY704000	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
KY703932	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
MK134713	O	III-Asian	Asian	
MK134712	O	III-Asian	Asian	
LC500222	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC500221	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC500219	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LC500216	O	III-Asian	Asian and Caribbean	Asian Urban + American Lineage
LN898112	O	III-Asian		Asian Urban + American Lineage
LN898110	O	III-Asian		Asian Urban + American Lineage
LN898106	O	III-Asian		Asian Urban + American Lineage
LN898100	O	III-Asian		Asian Urban + American Lineage
LN898108	O	III-Asian		Asian Urban + American Lineage
LN898104	O	III-Asian		Asian Urban + American Lineage
LN898105	O	III-Asian		Asian Urban + American Lineage
LN898101	O	III-Asian		Asian Urban + American Lineage
LN898098	O	III-Asian		Asian Urban + American Lineage
LN898096	O	III-Asian		Asian Urban + American Lineage
LN898103	O	III-Asian		Asian Urban + American Lineage
LN898094	O	III-Asian		Asian Urban + American Lineage
LN898111	O	III-Asian		Asian Urban + American Lineage
LN898107	O	III-Asian		Asian Urban + American Lineage
